girdi,cevap,etiket,girdi_norm
anlamiyorum,Hangi konuyu anlayamiyorsunuz? Daha ayrintili anlatabilirsiniz.,diger,anlamiyorum
aciklar misin,Tabii aciklamaktan mutluluk duyarim. Ne konusunda?,diger,aciklar misin
anlat bana,Tabii anlatayim ne ogrenmeye calisiyorsunuz?,diger,anlat bana
bilgi ver,Hangi konuda bilgi almak istersiniz?,diger,bilgi ver
ne yapmaliyim,Durumu biraz daha anlatir misiniz? Ona gore yardimci olayim.,diger,ne yapmaliyim
nasil yapabilirim,Adim adim anlatmaya calisayim. Ne yapmak istiyorsunuz?,diger,nasil yapabilirim
nasil kullanilir,Ne kullanmak istediginizi soyleyin adim adim anlatalim.,diger,nasil kullanilir
tavsiye verir misin,Tabii tavsiye vermekten mutluluk duyarim. Konu nedir?,diger,tavsiye verir misin
oneri var mi,Oneri icin buradayim. Ne konusunda oneri istiyorsunuz?,diger,oneri var mi
yardimci ol,Yardimci olmaya hazirim. Neye ihtiyaciniz var?,diger,yardimci ol
hava nasil,Hava durumunu takip edemiyorum ama disa cikacaksaniz once bakmanizi oneririm.,diger,hava nasil
bugün hava nasil,Gercek zamanli hava verisi goremiyorum bir hava durumu uygulamasi kontrol edin.,diger,bugün hava nasil
yagmur yagacak mi,Hava tahmini veremiyorum ama semsiyenizi almanizi oneririm!,diger,yagmur yagacak mi
hava sicak mi,Sicaklik bilgisine erisemiyorum ama bir hava uygulamasi size kesin bilgi verir.,diger,hava sicak mi
kar yagacak mi,Kar tahmini yapamiyorum ama kis hazirliginizi erken yapin!,diger,kar yagacak mi
saat kac,Maalesef saat bilgisine erisemiyorum cihazinizin saatine bakabilirsiniz.,diger,saat kac
bugun ne gunu,Takvim bilgisine erisemiyorum ama cihazinizin takvimini kontrol edebilirsiniz.,diger,bugun ne gunu
tarih nedir,Gercek zamanli tarih verisine erisimim yok cihazinizdan kontrol edebilirsiniz.,tarih,tarih nedir
ne zaman,Zaman konusunda kesin bilgi veremiyorum ama yardimci olmaya calisabilirim.,kariyer,ne zaman
kac gun kaldi,Tarihi bilmedigim icin kesin hesaplama yapamiyorum ama yardimci olmaya calisayim.,diger,kac gun kaldi
uzgunun,Uzgun oldugunuza uzuldum. Biraz sohbet etmek ister misiniz?,diger,uzgunun
sikiliyorum,Anlasilir! Sizi eglendirmeye calisabilirim ya da konusabiliriz.,diger,sikiliyorum
stresim var,Stres herkesin yasadigi bir sey. Derin bir nefes alin biraz sohbet edelim.,saglik,stresim var
kiziyorum,Anlasilabilir bir duygu. Ne oldu anlatmak ister misiniz?,diger,kiziyorum
korkuyorum,Korkularinizi paylasmaktan cekinmeyin. Ne hissediyorsunuz?,diger,korkuyorum
heyecanlandim,Heyecan harika bir duygu! Ne oluyor?,diger,heyecanlandim
sevindim,Sevincini duymak guzel! Neden bu kadar sevindiniz?,diger,sevindim
harika hissediyorum,Muhtesem! Bu enerjiyi koruyun!,finans,harika hissediyorum
yorgunum,Dinlenmeniz gerekiyor biraz ara verin kendinize iyi bakin.,diger,yorgunum
hasta oldum,Gecmis olsun! Bol bol su icin ve dinlenin.,diger,hasta oldum
kafam karisik,Anlasilir kafanizi toplamak icin birlikte konusalim.,diger,kafam karisik
ne yapmayi seversin,Konusmak ve yardimci olmaktan zevk aliyorum! Siz ne seversiniz?,uzay,ne yapmayi seversin
kitap okur musun,Okuma yetkim yok ama kitap tavsiyesi istiyorsaniz yardimci olabilirim.,sanat,kitap okur musun
muzik dinler misin,Muzik dinleyemiyorum ama muzik tercihleri hakkinda sohbet edebiliriz.,diger,muzik dinler misin
spor yapar misin,Fiziksel bir bedenim yok ama sporla ilgili sorularinizi cevaplayabilirim.,spor,spor yapar misin
film izler misin,Film izleyemiyorum ama tavsiye istiyorsaniz yardimci olabilirim.,sanat,film izler misin
oyun oynar misin,Dijital oyunlar oynayamiyorum ama oyunlar hakkinda konusabiliriz.,diger,oyun oynar misin
seyahat eder misin,Seyahat edemiyorum ama gidilecek yerler hakkinda bilgi verebilirim.,diger,seyahat eder misin
yemek yapar misin,Yemek yapamiyorum ama tarif istiyorsaniz yardimci olabilirim.,yemek,yemek yapar misin
python nedir,Python yuksek seviyeli genel amacli bir programlama dilidir kolay ogrenilebilmesi ile bilinir.,yapay_zeka,python nedir
makine ogrenmesi nedir,Makine ogrenmesi bilgisayarlarin veriden ogrenip karar vermesini saglayan yapay zeka dalıdır.,diger,makine ogrenmesi nedir
yapay zeka nedir,Yapay zeka insan zekasini taklit eden bilgisayar sistemleri gelistirme bilimidir.,uzay,yapay zeka nedir
derin ogrenme nedir,Derin ogrenme yapay sinir aglarini kullanan bir makine ogrenmesi alt dalidir.,diger,derin ogrenme nedir
veri bilimi nedir,Veri bilimi buyuk veri kumelerinden anlam cikarma ve karar vermeyi saglayan disiplindir.,yapay_zeka,veri bilimi nedir
pandas nedir,Pandas Python icin guclu bir veri analizi ve manipulasyonu kutuphanesidir.,yapay_zeka,pandas nedir
numpy nedir,NumPy Python icin sayisal hesaplama yapan temel bilimsel hesaplama kutuphanesidir.,yapay_zeka,numpy nedir
sklearn nedir,Scikit-learn Python icin kapsamli bir makine ogrenmesi kutuphanesidir.,yapay_zeka,sklearn nedir
tfidf nedir,TF-IDF metinlerdeki kelimelerin onem derecesini olcen istatistiksel bir yontemdir.,diger,tfidf nedir
cosine similarity nedir,Cosine similarity iki vektor arasindaki acinin kosinusunu olcerek benzerligi hesaplar.,yapay_zeka,cosine similarity nedir
internet nedir,Internet dunya genelinde bilgisayarlari birbirine baglayan kuresel ag sistemidir.,diger,internet nedir
bulut bilisim nedir,Bulut bilisim internet uzerinden bilisim kaynaklarina uzaktan erisim saglar.,diger,bulut bilisim nedir
siber guvenlik nedir,Siber guvenlik dijital sistemleri saldirilara karsi koruma bilimidir.,diger,siber guvenlik nedir
blockchain nedir,Blockchain dagitik ve degistirilemez bir dijital kayit defteri teknolojisidir.,yapay_zeka,blockchain nedir
ne yiyelim,Saglıkli beslenme icin sebze meyve ve protein agirlikli bir meni onerebilirim!,diger,ne yiyelim
aciktim,Bir seyler yemenin tam vakti! Basit bir tarif ister misiniz?,diger,aciktim
ne iceyim,Su icmek her zaman en iyi tercih! Yeterli su ictiginizden emin olun.,diger,ne iceyim
uyku problemi var,Duzensiz uyku sagliginizi etkiler. Yatmadan once ekranlardan uzak durun.,saglik,uyku problemi var
egzersiz yapmak istiyorum,Harika karar! Yuruyus baslamak icin iyi bir noktadir.,spor,egzersiz yapmak istiyorum
kitap tavsiyesi,Ilgi alaniniza gore tavsiye edebilirim hangi konuyu seviyorsunuz?,sanat,kitap tavsiyesi
film tavsiyesi,Hangi tur filmleri seviyorsunuz? Ona gore oneri yapabilirim.,sanat,film tavsiyesi
dil ogreniyorum,Cok guzel! Hangi dili ogreniyorsunuz? Ipuclari verebilirim.,diger,dil ogreniyorum
ingilizce ogreniyorum,Ingilizce ogrenmek icin her gun pratik yapmak cok onemlidir.,diger,ingilizce ogreniyorum
matematik zor,Matematik pratikle kolaylasiyor! Hangi konuyu anlayamiyorsunuz?,diger,matematik zor
cok zor,Zor zamanlarda sabir en buyuk erdemdir. Yaninizdayim.,diger,cok zor
basaramiyor gibiyim,Herkes zorlanik yasayabilir. Kucuk adimlarla ilerleyin basarabilirsiniz!,diger,basaramiyor gibiyim
umut yok gibi,Umut her zaman vardir. Bir adim geri cekip yeniden bakmayi deneyin.,diger,umut yok gibi
yalniz hissediyorum,Yalnizlik zor bir his. Sohbet etmek ister misiniz buradayim.,finans,yalniz hissediyorum
bunaldim,Bunalim normal bir duygu. Derin bir nefes alin ve adim adim dusunun.,diger,bunaldim
her sey kotu gidiyor,Zor bir donemden geciyorsunuz anlasilir. Birlikte konusabiliriz.,diger,her sey kotu gidiyor
kendimi iyi hissetmiyorum,Gecmis olsun! Fiziksel mi yoksa ruhsal olarak mi iyi hissetmiyorsunuz?,finans,kendimi iyi hissetmiyorum
bir sey anlat,Size kisa bir bilgi vereyim: Ahtapotlarin uc kalbi vardir!,diger,bir sey anlat
ilginc bir bilgi ver,Guneste bir gun yaklasik 24 saat degil 25 saattir cunku Dunya yavaslamaktadir.,diger,ilginc bir bilgi ver
beni eglendir,Neden matematik kitaplari uzgundu? Cunku cok fazla problemi vardi!,diger,beni eglendir
bir fikra anlat,Neden programcilar gozluk takar? Cunku cok fazla C sharp goruyorlar!,diger,bir fikra anlat
bilmece sor,Sorayim: Koskoca dagin icinde bir kucuk kutu ne olabilir? Cevap: kibrit kutusu!,diger,bilmece sor
sana soru soracagim,Buyurun sorabilirsiniz! Elimden geleni yapacagim.,diger,sana soru soracagim
Okuyacak güzel bir kitap önerebilir misin?,"Elbette! ""Simyacı"" hem akıcı hem de düşündürücü bir kitap. Keyifle okuyacağını umarım.",sanat,okuyacak güzel bir kitap önerebilir misin
"Bu akşam film izlemek istiyorum, ne tavsiye edersin?","""Yeşil Yol"" harika bir seçenek olabilir. Hem etkileyici hem de anlamlı bir hikayeye sahip.",sanat,bu akşam film izlemek istiyorum ne tavsiye edersin
"Yeni müzikler keşfetmek istiyorum, önerin var mı?",Eğer sakin bir şeyler arıyorsan Kalben'in şarkılarına göz atmanı öneririm. Çok huzurlu bir tarzı var.,sanat,yeni müzikler keşfetmek istiyorum önerin var mı
Yaz tatili için bir yer önerebilir misin?,Antalya'nın Kaş ilçesi son derece keyifli bir tatil noktasıdır. Doğası ve deniziyle harika bir seçim olabilir.,diger,yaz tatili için bir yer önerebilir misin
Doğum günü için arkadaşlarıma ne hediye alabilirim?,"İlgi alanlarına göre değişebilir ama kitap, defter ya da kişisel bir not içeren hediyeler her zaman etkileyicidir.",diger,doğum günü için arkadaşlarıma ne hediye alabilirim
"Güzel bir restoran arıyorum, ne önerirsin?","Eğer İstanbul'daysan, Cihangir'deki bazı küçük kafeler hem lezzetli hem samimi bir ortam sunuyor. Denemeye değer.",diger,güzel bir restoran arıyorum ne önerirsin
"Yeni telefon uygulamaları keşfetmek istiyorum, önerin var mı?",Günlük verimlilik için Notion veya Todoist uygulamalarını tavsiye ederim. Oldukça kullanışlılar.,diger,yeni telefon uygulamaları keşfetmek istiyorum önerin var mı
Oyun oynamak istiyorum ama ne oynasam bilemiyorum.,"Eğer hikaye odaklı oyunları seviyorsan ""The Last of Us"" çok beğenilen bir seçenek. Denemeni öneririm.",diger,oyun oynamak istiyorum ama ne oynasam bilemiyorum
"Yazılım öğrenmek istiyorum, nereden başlamalıyım?",Codecademy ve Udemy’deki temel Python kursları başlangıç için oldukça uygun. Adım adım ilerleyebilirsin.,yapay_zeka,yazılım öğrenmek istiyorum nereden başlamalıyım
"Yeni bir hobi edinmek istiyorum, ne önerirsin?",Origami ya da dijital çizim gibi yaratıcı hobiler hem keyifli hem de rahatlatıcı olabilir. Denemeye ne dersin?,diger,yeni bir hobi edinmek istiyorum ne önerirsin
Haftasonu için film tavsiyen var mı?,"Tabii! ""The Intouchables"" hem komik hem de ilham verici bir film. Keyifli vakit geçirebilirsin.",sanat,haftasonu için film tavsiyen var mı
Kitap okumaya başlamak istiyorum ama hangisiyle başlayacağımı bilmiyorum.,"Başlangıç için ""Martı"" güzel bir tercih olabilir. Anlatımı sade ve derin mesajlar içeriyor.",uzay,kitap okumaya başlamak istiyorum ama hangisiyle başlayacağımı bilmiyorum
"Enerjim düşük, moralimi yerine getirecek bir dizi arıyorum.","“Brooklyn Nine-Nine” hafif ve eğlenceli bir dizi, modunu yükseltebilir.",sanat,enerjim düşük moralimi yerine getirecek bir dizi arıyorum
Müzik dinlemek istiyorum ama ne açacağımı bilemiyorum.,Mor ve Ötesi'nin eski albümlerine göz atmanı öneririm. Sözleri de oldukça etkileyicidir.,sanat,müzik dinlemek istiyorum ama ne açacağımı bilemiyorum
Arkadaşıma hediye alacağım ama ne alsam bilemiyorum.,Kişiye özel tasarlanmış kupa ya da defter gibi hediyeler hem anlamlı hem de kullanışlı olabilir.,diger,arkadaşıma hediye alacağım ama ne alsam bilemiyorum
Telefonumda kullanabileceğim verimli bir uygulama arıyorum.,Notion uygulamasını denemeni öneririm. Hem not alabilir hem planlama yapabilirsin.,diger,telefonumda kullanabileceğim verimli bir uygulama arıyorum
Yeni bir yemek tarifi denemek istiyorum. Ne önerirsin?,Karnabahar köftesi hem sağlıklı hem de farklı bir lezzet. Tarifine göz atabilirsin.,yemek,yeni bir yemek tarifi denemek istiyorum ne önerirsin
Tatil için uygun ve sakin bir yer arıyorum.,"Akyaka’yı öneririm. Doğayla iç içe, huzurlu bir ortam sunuyor.",diger,tatil için uygun ve sakin bir yer arıyorum
Evde yapabileceğim bir hobi önerir misin?,Makrome ile duvar süsleri yapmak hem rahatlatıcı hem de yaratıcı bir uğraş olabilir.,diger,evde yapabileceğim bir hobi önerir misin
Yeni bir şeyler öğrenmek istiyorum ama neye başlasam kararsız kaldım.,Fotoğrafçılıkla ilgilenebilirsin. Cep telefonunla bile güzel fotoğraflar çekebilirsin.,diger,yeni bir şeyler öğrenmek istiyorum ama neye başlasam kararsız kaldım
Çalışma yaparken dinleyecek güzel bir müzik önerir misin?,Eğer sakin bir şeyler arıyorsan Ludovico Einaudi'nin piyano parçaları çok rahatlatıcıdır.,sanat,çalışma yaparken dinleyecek güzel bir müzik önerir misin
Bugün ne yemek yapsam?,Fırında tavuk ve sebzeler hem sağlıklı hem de pratik bir seçenek olabilir.,yemek,bugün ne yemek yapsam
Hangi diziye başlamalıyım?,"""Breaking Bad"" gerçekten unutulmaz bir yapım. Gerilim ve dramayı sevenler için ideal.",sanat,hangi diziye başlamalıyım
"Farklı bir tatil deneyimi istiyorum, nerelere gitmeliyim?",Kapadokya’nın peri bacaları ve balon turları çok eşsiz bir deneyim sunar. Hem de çok fotojenik bir yer!,diger,farklı bir tatil deneyimi istiyorum nerelere gitmeliyim
Klasik kitaplardan ne önerirsin?,"""Suç ve Ceza"" gerçekten harika bir klasik. Derin felsefi sorgulamalar yapabileceğin bir kitap.",sanat,klasik kitaplardan ne önerirsin
Akşam yemeği için kolay bir tarif arıyorum.,Makarna salatası oldukça pratik ve lezzetli bir seçenek olabilir. Üzerine sevdiğin malzemeleri ekleyebilirsin.,uzay,akşam yemeği için kolay bir tarif arıyorum
Psikolojik gerilim filmi önerir misin?,"""Shutter Island"" oldukça etkileyici bir film. Akıl ve gerilim dolu bir yapım.",saglik,psikolojik gerilim filmi önerir misin
"Yoga yapmak istiyorum, nereden başlamalıyım?","Yoga için ""Adriene Mishler"" YouTube kanalını tavsiye ederim. Yeni başlayanlar için harika videolar var.",spor,yoga yapmak istiyorum nereden başlamalıyım
"Haftasonu eğlenceli bir şeyler yapmak istiyorum, önerin var mı?",Bowling ya da bir escape room deneyebilirsiniz. Hem eğlenceli hem de arkadaşlarınızla keyifli vakit geçirmenizi sağlar.,diger,haftasonu eğlenceli bir şeyler yapmak istiyorum önerin var mı
Sınav için nasıl çalışmalıyım?,Pomodoro tekniği ile çalışmayı deneyebilirsin. 25 dakika yoğun çalışma ve 5 dakika ara vererek daha verimli olabilirsin.,diger,sınav için nasıl çalışmalıyım
"Kitap önerisi almak istiyorum, yardımcı olur musun?","""1984"" George Orwell’ın distopik bir başyapıtı. Düşündürücü ve sürükleyici bir hikaye.",sanat,kitap önerisi almak istiyorum yardımcı olur musun
"Bugün ne yemek yapsam, pratik bir tarif arıyorum.",Zeytinyağlı enginar harika bir seçenek olabilir. Hem sağlıklı hem de hızlıca yapılabilir.,yemek,bugün ne yemek yapsam pratik bir tarif arıyorum
"En sevdiğim türde dizi arıyorum, önerin var mı?","""Stranger Things"" bilim kurgu ve gerilimi harmanlayan harika bir dizi. Eğer 80'ler havasını seviyorsan, bu dizi tam sana göre.",sanat,en sevdiğim türde dizi arıyorum önerin var mı
"Farklı bir tatil yeri arıyorum, önerin var mı?","Bodrum’un daha sakin bölgelerine gitmeni öneririm. Özellikle Yalıkavak, huzurlu bir atmosfer sunuyor.",diger,farklı bir tatil yeri arıyorum önerin var mı
"Yeni bir yemek tarifi öğrenmek istiyorum, ne önerirsin?",Kumpir tarifini denemeni öneririm. Hem kolay hem de içine istediğin malzemeleri koyabileceğin bir yemek.,yemek,yeni bir yemek tarifi öğrenmek istiyorum ne önerirsin
"Stresimi azaltmak için bir şeyler yapmak istiyorum, önerin var mı?",Derin nefes egzersizleri yapmak çok rahatlatıcı olabilir. Bunun yanında kısa bir yürüyüş de iyi gelebilir.,saglik,stresimi azaltmak için bir şeyler yapmak istiyorum önerin var mı
Akşam için film önerir misin?,"""Inception"" harika bir film. Zihinsel olarak seni zorlayacak, ancak izledikçe içine çekecek.",sanat,akşam için film önerir misin
"Edebiyatla ilgileniyorum, hangi yazarları okumalıyım?","Haruki Murakami’nin kitaplarını öneririm. Özellikle ""Norwegian Wood"" oldukça etkileyici.",sanat,edebiyatla ilgileniyorum hangi yazarları okumalıyım
"Hangi müzik türünü dinlemeliyim, ruh halime göre önerir misin?","Eğer sakinleşmek istersen, klasik müzik ya da lo-fi beats dinlemek çok rahatlatıcı olabilir.",sanat,hangi müzik türünü dinlemeliyim ruh halime göre önerir misin
Sinemada izleyecek güzel bir film önerir misin?,"""Dune"" son zamanlarda vizyona girmiş çok beğenilen bir film. Bilim kurgu sevenler için harika bir seçenek.",sanat,sinemada izleyecek güzel bir film önerir misin
"Kitap okumayı seviyorum, ama ne okusam karar veremedim.","""Sefiller"" Victor Hugo'nun klasiklerinden biri. Hem duygusal hem de toplumsal mesajlar içeriyor.",uzay,kitap okumayı seviyorum ama ne okusam karar veremedim
"Şu an çok yoruldum, sakinleştirici bir şey önerir misin?","Meditasyon yapmayı deneyebilirsin. ""Calm"" ya da ""Headspace"" gibi uygulamalar rehberli meditasyon sunuyor.",diger,şu an çok yoruldum sakinleştirici bir şey önerir misin
"Yeni bir film izlemek istiyorum, ama ne izlesem kararsız kaldım.","Eğer aksiyon ve dramayı seviyorsan, ""Mad Max: Fury Road"" harika bir seçenek.",sanat,yeni bir film izlemek istiyorum ama ne izlesem kararsız kaldım
Evde kolayca yapabileceğim sağlıklı bir tatlı önerisi var mı?,Yoğurtlu meyve tatlısı yapabilirsin. Hem sağlıklı hem de pratik.,uzay,evde kolayca yapabileceğim sağlıklı bir tatlı önerisi var mı
Günü verimli geçirebilmek için ne yapmalıyım?,Günlük plan yaparak başla. “To-Do List” ile işleri sırasıyla halletmek işleri kolaylaştırabilir.,diger,günü verimli geçirebilmek için ne yapmalıyım
Akşam yemeğinde ne yapsam?,Fırında sebze ve tavuk harika bir seçenek olabilir. Hem pratik hem de besleyici.,yemek,akşam yemeğinde ne yapsam
"Çok düşünceliyim, rahatlamak için önerin var mı?",Bir süreliğine sosyal medyadan uzaklaşmak rahatlatıcı olabilir. Doğa yürüyüşü de iyi gelebilir.,diger,çok düşünceliyim rahatlamak için önerin var mı
"Filmler hakkında konuşalım, ne önerirsin?","""The Shawshank Redemption"" her zaman izlenebilir. Hem derin bir hikayesi var hem de unutulmaz.",sanat,filmler hakkında konuşalım ne önerirsin
"Sıkıldım, ne yapmalıyım?",Belki bir puzzle ya da sudoku çözebilirsin. Beyin egzersizi yaparken eğlenebilirsin.,diger,sıkıldım ne yapmalıyım
"Yeni bir kitap almak istiyorum, hangi kitabı önerirsin?","""Küçük Prens"" gerçekten her yaşa hitap eden bir kitap. Hem çocuklar hem yetişkinler için derin mesajlar içeriyor.",sanat,yeni bir kitap almak istiyorum hangi kitabı önerirsin
Kendimi geliştirebileceğim bir kurs önerir misin?,Udemy'de çok sayıda kişisel gelişim kursu var. Zihinsel sağlık ve motivasyon üzerine birçok eğitici video bulabilirsin.,kariyer,kendimi geliştirebileceğim bir kurs önerir misin
"Eğlenceli bir oyun oynayacağım, ne önerirsin?","Eğer strateji oyunları seviyorsan, ""Civilization VI"" gerçekten bağımlılık yapıcı bir oyun.",uzay,eğlenceli bir oyun oynayacağım ne önerirsin
Bir arkadaşımın doğum günü için hediye önerisi istiyorum.,Kişiye özel takı ya da bir el yapımı obje her zaman anlamlı bir hediye olabilir.,diger,bir arkadaşımın doğum günü için hediye önerisi istiyorum
"Spor yapmak istiyorum, yeni başlıyorum. Ne önerirsin?","Yürüyüş ya da hafif koşu ile başlayabilirsin. Ayrıca, yoga ve pilates de rahatlatıcı egzersizlerdir.",spor,spor yapmak istiyorum yeni başlıyorum ne önerirsin
Sinema salonunda izlenecek film önerir misin?,"""Eternal Sunshine of the Spotless Mind"" görsel ve duygusal açıdan harika bir film.",sanat,sinema salonunda izlenecek film önerir misin
Kış tatili için nereye gitmeliyim?,"Kartepe ya da Uludağ, kış tatili için harika seçenekler. Hem kayak yapabilir hem de doğanın tadını çıkarabilirsin.",diger,kış tatili için nereye gitmeliyim
"Şu an stresliyim, nasıl rahatlayabilirim?","Derin nefes alarak başlayabilirsin. Ayrıca, sıcak bir duş almak da çok rahatlatıcı olabilir.",uzay,şu an stresliyim nasıl rahatlayabilirim
"Kitapçıda yeni neler var, ne önerirsin?","""Huzur"" adlı kitabı tavsiye ederim. Sabahattin Ali’nin derinlikli ve dokunaklı bir anlatımı var.",sanat,kitapçıda yeni neler var ne önerirsin
Bahar için güzel bir tatil yeri önerir misin?,"Çeşme, özellikle baharda hem sessiz hem de dinlendirici bir tatil yapabileceğiniz bir yer.",diger,bahar için güzel bir tatil yeri önerir misin
"Bugün ne yapacağım hakkında fikrim yok, ne önerirsin?",Belki bir yürüyüş yapabilir ya da yeni bir hobiyi denemeye başlayabilirsin. Origami ya da resim yapmayı deneyebilirsin.,diger,bugün ne yapacağım hakkında fikrim yok ne önerirsin
"Kolay bir yemek tarifi arıyorum, ne önerirsin?",Çörek otu ve zeytinyağlı patates salatası hem lezzetli hem de pratik bir tarif olabilir.,uzay,kolay bir yemek tarifi arıyorum ne önerirsin
"Yoğun bir gün geçirdim, rahatlamak için ne yapabilirim?",Sıcak bir banyo yapmak veya meditasyon yaparak rahatlamak iyi gelebilir. Biraz da kitap okuyabilirsin.,diger,yoğun bir gün geçirdim rahatlamak için ne yapabilirim
Dışarıda takılacak güzel bir yer önerir misin?,"Eğer İstanbul'daysan, Kadıköy'deki Moda Sahili’nde yürüyüş yapabilirsin. Hem manzara güzel hem de sakin.",diger,dışarıda takılacak güzel bir yer önerir misin
Akşam yemeği için sağlıklı bir seçenek önerir misin?,Izgara sebzelerle tavuk yapmayı düşünebilirsin. Hem hafif hem de besleyici olur.,saglik,akşam yemeği için sağlıklı bir seçenek önerir misin
"Güzel bir tatil yeri arıyorum, önerilerin var mı?","Çeşme, yaz aylarında hem sakin hem de güzel plajlarıyla harika bir seçenek.",diger,güzel bir tatil yeri arıyorum önerilerin var mı
Bir film izlemek istiyorum ama kararsız kaldım.,"Eğer dramayı seviyorsan ""A Beautiful Mind"" çok etkileyici bir film. Hem hikayesi hem de oyunculukları harika.",sanat,bir film izlemek istiyorum ama kararsız kaldım
"Klasik bir yemek tarifi arıyorum, ne önerirsin?",Klasik bir karışık kebap tarifi her zaman beğenilir. Üzerine pilav ve cacık da ekleyebilirsin.,yemek,klasik bir yemek tarifi arıyorum ne önerirsin
"Yeni bir müzik tarzı keşfetmek istiyorum, ne önerirsin?","Farklı bir deneyim için ""Flamenco"" dinlemeyi deneyebilirsin. İspanyol ezgileri oldukça enerjik ve dinamik.",sanat,yeni bir müzik tarzı keşfetmek istiyorum ne önerirsin
